EAN,SKU,Produkt,Variant,Storlek,Centra Antal,Centra COG (SEK),Centra Enhetskostnad,ES Antal,ES FIFO-värde (SEK),ES Snittkostnad,ES Källa,Antal Diff,Värde Diff (SEK),Värde Diff %,Möjlig Orsak
7340119379189,VA0241,"W Dyrön Active Shorts","Lava Black",L,26,7904,304,26,7582.38,291.63,delivery,0,-321.62,-4.07,"Enhetskostnad: -4.1%"
7340119388563,VA0296,"W Mattmar Baselayer Top","Mesa Rose",L,32,9792,306,32,9474.43,296.08,delivery,0,-317.57,-3.24,"Enhetskostnad: -3.2%"
7340119389188,VA0308,"J Baby Varg Shelter","Dark Chocolate Brown",One size,18,7200,400,18,7515.18,417.51,delivery,0,315.18,4.38,"Enhetskostnad: +4.4%"
7340119380901,AW12-W,"W Fårö Wool Jersey","Sand",XL,13,4810,370,13,4495.53,345.81,delivery,0,-314.47,-6.54,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119370186,AW200-U,"U Sarek Long Down Hood Anorak","Dark Emerald Green",S,19,19171,1009,19,18856.55,992.45,delivery,0,-314.45,-1.64,"Enhetskostnad: -1.6%"
7340119370209,AW200-U,"U Sarek Long Down Hood Anorak","Dark Emerald Green",L,19,19171,1009,19,18856.55,992.45,delivery,0,-314.45,-1.64,"Enhetskostnad: -1.6%"
7340119341049,SP21-71-W,"W Fårö Wool Skirt","Off White",L,5,1750,350,5,1437.35,287.47,delivery,0,-312.65,-17.87,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119386842,VA0290,"M Koltjärn Baselayer Pant","Ink Blue",M,64,9792,153,64,10103.04,157.86,delivery,0,311.04,3.18,"Enhetskostnad: +3.2%"
7340119364994,SP96-M,"M Vaxholm Shorts","Navy Blue",L,76,24320,320,76,24628.82,324.06,delivery,0,308.82,1.27,"Enhetskostnad: +1.3%"
7340119389959,VA0259,"M Tvärå Down Jacket","Ivy Green",S,16,16800,1050,16,17108.48,1069.28,delivery,0,308.48,1.84,"Enhetskostnad: +1.8%"
7340119360491,AW401-W,"W Älgön 2.0 Down Hood Anorak","Urban Green",M,31,34720,1120,31,34411.55,1110.05,delivery,0,-308.45,-0.89,"Minimal avvikelse"
7340119389317,AW127-W,"W Kalix Winter Parka","Dark Emerald Green",M,62,43400,700,62,43096.82,695.11,delivery,0,-303.18,-0.7,"Minimal avvikelse"
7340119364970,SP96-M,"M Vaxholm Shorts","Navy Blue",S,32,10240,320,32,10542.12,329.44,delivery,0,302.12,2.95,"Enhetskostnad: +2.9%"
7340119360224,SP1194-W,"W Haväng Summer Shirt","White",M,61,24400,400,61,24701.95,404.95,delivery,0,301.95,1.24,"Enhetskostnad: +1.2%"
7340119373668,AW100-W,"W Blanktjärn Merino Wool Pant","Dark Emerald Green",L,54,12150,225,54,12442.14,230.41,delivery,0,292.14,2.4,"Enhetskostnad: +2.4%"
7340119382509,VA0257,"W Ålesund Active Pant","Oyster White",XXL,3,811.2,270.4,3,1102.08,367.36,delivery,0,290.88,35.86,"Stor kostnadsskillnad - kontrollera"
