Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Stone Khaki,-SK,0.00,S,-3,7340119353875,,0,#DIV/0!,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Stone Khaki,-SK,0.00,M,-4,7340119353882,,0,#DIV/0!,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Stone Khaki,-SK,0.00,L,-5,7340119353899,,0,#DIV/0!,
VARG,SP50-W,SS23,W Österlen Outdoor Tights,Stone Khaki,-SK,0.00,XL,-6,7340119353905,,0,#DIV/0!,
VARG,VA0308,,J Baby Varg Shelter,Arctic Blue,002,8000.00,One size,10,7340119389218,,20,400,
VARG,VA0308,,J Baby Varg Shelter,Dark Anthracite,006,0.00,One size,10,7340119393581,,0,#DIV/0!,
VARG,VA0308,,J Baby Varg Shelter,Dark Chocolate Brown,005,7200.00,One size,10,7340119389188,,18,400,
VARG,VA0308,,J Baby Varg Shelter,Forest Green,004,0.00,One size,10,7340119389195,,0,#DIV/0!,
VARG,VA0308,,J Baby Varg Shelter,Off White,001,4000.00,One size,10,7340119389225,,10,400,
VARG,VA0308,,J Baby Varg Shelter,Rust Orange,003,6800.00,One size,10,7340119389201,,17,400,
VARG,SPN909-J,Towel and Swimwear,J Lomma Junior Towel Poncho,Blue Ashes,004,5192.00,7-12,25,7340119388983,,20,259.6,
VARG,SPN909-J,Towel and Swimwear,J Lomma Junior Towel Poncho,Kelp Green,-KG,0.00,7-12,-74,7340119370322,,0,#DIV/0!,
VARG,SPN909-J,Towel and Swimwear,J Lomma Junior Towel Poncho,Oat and Milk,005,0.00,7-12,25,,,0,#DIV/0!,
VARG,SPN909-J,Towel and Swimwear,J Lomma Junior Towel Poncho,Seashell Pink,-SPI,0.00,7-12,-74,7340119370339,,0,#DIV/0!,
VARG,SPN909-J,Towel and Swimwear,J Lomma Junior Towel Poncho,Sunset Coral,003,9864.80,7-12,25,7340119388976,,38,259.6,
VARG,AW407-M,AW22,M Abisko Wool Shorts,Black Granite,-BG,0.00,S,-3,7340119356937,,0,#DIV/0!,
VARG,AW407-M,AW22,M Abisko Wool Shorts,Black Granite,-BG,0.00,M,-4,7340119356944,,0,#DIV/0!,
VARG,AW407-M,AW22,M Abisko Wool Shorts,Black Granite,-BG,2030.00,L,-5,7340119356951,,7,290,
VARG,AW407-M,AW22,M Abisko Wool Shorts,Black Granite,-BG,2900.00,XL,-6,7340119356968,,10,290,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Dark Grey,-DKG,0.00,S,-3,7340119361887,,0,#DIV/0!,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Dark Grey,-DKG,0.00,M,-4,7340119361894,,0,#DIV/0!,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Dark Grey,-DKG,0.00,L,-5,7340119361900,,0,#DIV/0!,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Dark Grey,-DKG,0.00,XL,-6,7340119361917,,0,#DIV/0!,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Espresso black,-ESP,296.00,S,-3,7340119343227,,1,296,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Espresso black,-ESP,0.00,M,-4,7340119343234,,0,#DIV/0!,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Espresso black,-ESP,0.00,L,-5,7340119343241,,0,#DIV/0!,
VARG,AW103-M,AW21,M Blanktjärn Merino Wool Jersey,Espresso black,-ESP,0.00,XL,-6,7340119343258,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Dark Grey,-DKG,0.00,S,-3,7340119361924,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Dark Grey,-DKG,0.00,M,-4,7340119361931,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Dark Grey,-DKG,0.00,L,-5,7340119361948,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Dark Grey,-DKG,0.00,XL,-6,7340119361955,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Espresso black,-ESP,7250.00,S,-3,7340119343265,,29,250,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Espresso black,-ESP,0.00,M,-4,7340119343272,,0,#DIV/0!,
VARG,AW102-M,AW21,M Blanktjärn Merino Wool Pant,Espresso black,-ESP,2250.00,L,-5,7340119343289,,9,250,
